DATE,COMPOSITE UMCSI,CURRENT,EXPECTATIONS
01/01/14,81.2,96.8,71.2
02/01/14,81.6,95.4,72.7
03/01/14,80.0,95.7,70.0
04/01/14,84.1,98.7,74.7
05/01/14,81.9,94.5,73.7
06/01/14,82.5,96.6,73.5
07/01/14,81.8,97.4,71.8
08/01/14,82.5,99.8,71.3
09/01/14,84.6,98.9,75.4
10/01/14,86.9,98.3,79.6
11/01/14,88.8,102.7,79.9
12/01/14,93.6,104.8,86.4
01/01/15,98.1,109.3,91.0
02/01/15,95.4,106.9,88.0
03/01/15,93.0,105.0,85.3
04/01/15,95.9,107.0,88.8
05/01/15,90.7,100.8,84.2
06/01/15,96.1,108.9,87.8
07/01/15,93.1,107.2,84.1
08/01/15,91.9,105.1,83.4
09/01/15,87.2,101.2,78.2
10/01/15,90.0,102.3,82.1
11/01/15,91.3,104.3,82.9
12/01/15,92.6,108.1,82.7
01/01/16,92.0,106.4,82.7
02/01/16,91.7,106.8,81.9
03/01/16,91.0,105.6,81.5
04/01/16,89.0,106.7,77.6
05/01/16,94.7,109.9,84.9
06/01/16,93.5,110.8,82.4
07/01/16,90.0,109.0,77.8
08/01/16,89.8,107.0,78.7
09/01/16,91.2,104.2,82.7
10/01/16,87.2,103.2,76.8
11/01/16,93.8,107.3,85.2
12/01/16,98.2,111.9,89.5
01/01/17,98.5,111.3,90.3
02/01/17,96.3,111.5,86.5
03/01/17,96.9,113.2,86.5
04/01/17,97.0,112.7,87.0
05/01/17,97.1,111.7,87.7
06/01/17,95.0,112.4,83.8
07/01/17,93.4,113.4,80.5
08/01/17,96.8,110.9,87.7
09/01/17,95.1,111.7,84.4
10/01/17,100.7,116.5,90.5
11/01/17,98.5,113.5,88.9
12/01/17,95.9,113.8,84.3
01/01/18,95.7,110.5,86.3
02/01/18,99.7,114.9,90.0
03/01/18,101.4,121.2,88.8
04/01/18,98.8,114.9,88.4
05/01/18,98.0,111.8,89.1
06/01/18,98.2,116.5,86.3
07/01/18,97.9,114.4,87.3
08/01/18,96.2,110.3,87.1
09/01/18,100.1,115.2,90.5
10/01/18,98.6,113.1,89.3
11/01/18,97.5,112.3,88.1
12/01/18,98.3,116.1,87.0
01/01/19,91.2,108.8,79.9
02/01/19,93.8,108.5,84.4
03/01/19,98.4,113.3,88.8
04/01/19,97.2,112.3,87.4
05/01/19,100.0,110.0,93.5
06/01/19,98.2,111.9,89.3
07/01/19,98.4,110.7,90.5
08/01/19,89.8,105.3,79.9
09/01/19,93.2,108.5,83.4
10/01/19,95.5,113.2,84.2
11/01/19,96.8,111.6,87.3
12/01/19,99.3,115.5,88.9
01/01/20,99.8,114.4,90.5
02/01/20,101.0,114.8,92.1
03/01/20,89.1,103.7,79.7
04/01/20,71.8,74.3,70.1
05/01/20,72.3,82.3,65.9
06/01/20,78.1,87.1,72.3
07/01/20,72.5,82.8,65.9
08/01/20,74.1,82.9,68.5
09/01/20,80.4,87.8,75.6
10/01/20,81.8,85.9,79.2
11/01/20,76.9,87.0,70.5
12/01/20,80.7,90.0,74.6
01/01/21,79.0,86.7,74.0
02/01/21,76.8,86.2,70.7
03/01/21,84.9,93.0,79.7
04/01/21,88.3,97.2,82.7
05/01/21,82.9,89.4,78.8
06/01/21,85.5,88.6,83.5
07/01/21,81.2,84.5,79.0
08/01/21,70.3,78.5,65.1
09/01/21,72.8,80.1,68.1
10/01/21,71.7,77.7,67.9
11/01/21,67.4,73.6,63.5
12/01/21,70.6,74.2,68.3
01/01/22,67.2,72.0,64.1
02/01/22,62.8,68.2,59.4
03/01/22,59.4,67.2,54.3
04/01/22,65.2,69.4,62.5
05/01/22,58.4,63.3,55.2
06/01/22,50.0,53.8,47.5
07/01/22,51.5,58.1,47.3
08/01/22,58.2,58.6,58.0
09/01/22,58.6,59.7,58.0
10/01/22,59.9,65.6,56.2
11/01/22,56.8,58.8,55.6
12/01/22,59.7,59.4,59.9
01/01/23,64.9,68.4,62.7
02/01/23,67.0,70.7,64.7
03/01/23,62.0,66.3,59.2
04/01/23,63.5,68.2,60.5
05/01/23,59.2,64.9,55.4
06/01/23,64.4,69.0,61.5
07/01/23,71.6,76.6,68.3
08/01/23,72.6,77.6,69.3
09/01/23,67.9,71.1,65.8
10/01/23,63.8,70.6,59.3
11/01/23,61.3,68.3,56.8
12/01/23,69.4,74.0,66.4
01/01/24,79.0,81.9,77.1
02/01/24,76.9,79.4,75.2
03/01/24,79.4,82.5,77.4
04/01/24,77.2,79.0,76.0
05/01/24,69.1,69.6,68.8
06/01/24,68.2,65.9,69.6
07/01/24,66.4,62.7,68.8
08/01/24,67.9,61.3,72.1
09/01/24,70.1,63.3,74.4
10/01/24,73.0,64.4,78.5
11/01/24,71.8,63.9,76.9
12/01/24,74.0,75.1,73.3
01/01/25,71.7,75.1,69.5
02/01/25,64.7,65.7,64.0
03/01/25,57.0,63.8,52.6
04/01/25,52.2,59.8,47.3
05/01/25,52.2,58.9,47.9
06/01/25,60.7,64.8,58.1
07/01/25,61.7,68.0,57.7
08/01/25,58.6,60.9,57.2
